"Postsecondary Enrollment"
4/3/2023

Year,Level,Division,Subgroup,"Students earning a federally recognized high school diploma","Students enrolled in higher education within 16 months of graduation",Percent
2018,DIV,"Warren County Public Schools",Hispanic,21,11,52
2018,DIV,"Warren County Public Schools",Male,179,76,42
2018,DIV,"Warren County Public Schools","Multiple Races",17,<,<
2018,DIV,"Warren County Public Schools","Students with Disabilities",37,<,<
2018,DIV,"Warren County Public Schools",White,307,149,49
2018,DIV,"Washington County Public Schools","All Students",509,354,70
2018,DIV,"Washington County Public Schools",Asian,<,<,<
2018,DIV,"Washington County Public Schools",Black,<,<,<
2018,DIV,"Washington County Public Schools","Economically Disadvantaged",209,113,54
2018,DIV,"Washington County Public Schools","English Learners",<,<,<
2018,DIV,"Washington County Public Schools",Female,254,195,77
2018,DIV,"Washington County Public Schools",Hispanic,22,11,50
2018,DIV,"Washington County Public Schools",Male,255,159,62
2018,DIV,"Washington County Public Schools","Multiple Races",<,<,<
2018,DIV,"Washington County Public Schools","Students with Disabilities",72,31,43
2018,DIV,"Washington County Public Schools",White,470,329,70
2018,DIV,"Waynesboro City Public Schools","All Students",189,99,52
2018,DIV,"Waynesboro City Public Schools",Asian,<,<,<
2018,DIV,"Waynesboro City Public Schools",Black,35,23,66
2018,DIV,"Waynesboro City Public Schools","Economically Disadvantaged",82,34,41
2018,DIV,"Waynesboro City Public Schools","English Learners",10,<,<
2018,DIV,"Waynesboro City Public Schools",Female,93,61,66
2018,DIV,"Waynesboro City Public Schools",Hispanic,26,10,38
2018,DIV,"Waynesboro City Public Schools",Male,96,38,40
2018,DIV,"Waynesboro City Public Schools","Multiple Races",<,<,<
2018,DIV,"Waynesboro City Public Schools","Students with Disabilities",18,<,<
2018,DIV,"Waynesboro City Public Schools",White,117,58,50
2018,DIV,"West Point Public Schools","All Students",60,42,70
2018,DIV,"West Point Public Schools","American Indian",<,<,<
2018,DIV,"West Point Public Schools",Asian,<,<,<
2018,DIV,"West Point Public Schools",Black,<,<,<
2018,DIV,"West Point Public Schools","Economically Disadvantaged",<,<,<
2018,DIV,"West Point Public Schools",Female,29,25,86
2018,DIV,"West Point Public Schools",Hispanic,<,<,<
2018,DIV,"West Point Public Schools",Male,31,17,55
2018,DIV,"West Point Public Schools","Multiple Races",<,<,<
2018,DIV,"West Point Public Schools","Students with Disabilities",<,<,<
2018,DIV,"West Point Public Schools",White,44,31,70
2018,DIV,"Westmoreland County Public Schools","All Students",113,58,51
2018,DIV,"Westmoreland County Public Schools",Black,50,26,52
2018,DIV,"Westmoreland County Public Schools","Economically Disadvantaged",63,34,54
2018,DIV,"Westmoreland County Public Schools","English Learners",<,<,<
2018,DIV,"Westmoreland County Public Schools",Female,55,33,60
2018,DIV,"Westmoreland County Public Schools",Hispanic,16,<,<
2018,DIV,"Westmoreland County Public Schools",Male,58,25,43
2018,DIV,"Westmoreland County Public Schools","Multiple Races",<,<,<
2018,DIV,"Westmoreland County Public Schools","Students with Disabilities",<,<,<
2018,DIV,"Westmoreland County Public Schools",White,43,25,58
2018,DIV,"Williamsburg-James City County Public Schools","All Students",861,616,72
2018,DIV,"Williamsburg-James City County Public Schools","American Indian",<,<,<
2018,DIV,"Williamsburg-James City County Public Schools",Asian,26,20,77
2018,DIV,"Williamsburg-James City County Public Schools",Black,137,88,64
2018,DIV,"Williamsburg-James City County Public Schools","Economically Disadvantaged",236,124,53
2018,DIV,"Williamsburg-James City County Public Schools","English Learners",20,11,55
2018,DIV,"Williamsburg-James City County Public Schools",Female,442,335,76
2018,DIV,"Williamsburg-James City County Public Schools",Hispanic,70,35,50
2018,DIV,"Williamsburg-James City County Public Schools",Male,419,281,67
2018,DIV,"Williamsburg-James City County Public Schools","Multiple Races",46,28,61
2018,DIV,"Williamsburg-James City County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"Williamsburg-James City County Public Schools","Students with Disabilities",70,29,41
2018,DIV,"Williamsburg-James City County Public Schools",White,577,440,76
2018,DIV,"Winchester City Public Schools","All Students",282,163,58
2018,DIV,"Winchester City Public Schools","American Indian",<,<,<
2018,DIV,"Winchester City Public Schools",Asian,<,<,<
2018,DIV,"Winchester City Public Schools",Black,34,18,53
2018,DIV,"Winchester City Public Schools","Economically Disadvantaged",154,62,40
2018,DIV,"Winchester City Public Schools","English Learners",49,12,24
2018,DIV,"Winchester City Public Schools",Female,159,95,60
2018,DIV,"Winchester City Public Schools",Hispanic,86,35,41
2018,DIV,"Winchester City Public Schools",Male,123,68,55
2018,DIV,"Winchester City Public Schools","Multiple Races",20,12,60
2018,DIV,"Winchester City Public Schools","Students with Disabilities",28,12,43
2018,DIV,"Winchester City Public Schools",White,133,91,68
2018,DIV,"Wise County Public Schools","All Students",464,293,63
2018,DIV,"Wise County Public Schools",Asian,<,<,<
2018,DIV,"Wise County Public Schools",Black,<,<,<
2018,DIV,"Wise County Public Schools","Economically Disadvantaged",234,119,51
2018,DIV,"Wise County Public Schools","English Learners",<,<,<
2018,DIV,"Wise County Public Schools",Female,228,166,73
2018,DIV,"Wise County Public Schools",Hispanic,<,<,<
2018,DIV,"Wise County Public Schools",Male,236,127,54
2018,DIV,"Wise County Public Schools","Multiple Races",<,<,<
2018,DIV,"Wise County Public Schools","Students with Disabilities",66,19,29
2018,DIV,"Wise County Public Schools",White,446,282,63
2018,DIV,"Wythe County Public Schools","All Students",312,195,63
2018,DIV,"Wythe County Public Schools","American Indian",<,<,<
2018,DIV,"Wythe County Public Schools",Asian,<,<,<
2018,DIV,"Wythe County Public Schools",Black,14,<,<
2018,DIV,"Wythe County Public Schools","Economically Disadvantaged",129,68,53
2018,DIV,"Wythe County Public Schools",Female,157,114,73
2018,DIV,"Wythe County Public Schools",Hispanic,<,<,<
2018,DIV,"Wythe County Public Schools",Male,155,81,52
2018,DIV,"Wythe County Public Schools","Multiple Races",12,<,<
2018,DIV,"Wythe County Public Schools","Students with Disabilities",20,<,<
2018,DIV,"Wythe County Public Schools",White,276,175,63
2018,DIV,"York County Public Schools","All Students",921,691,75
2018,DIV,"York County Public Schools","American Indian",<,<,<
2018,DIV,"York County Public Schools",Asian,55,48,87
2018,DIV,"York County Public Schools",Black,115,82,71
2018,DIV,"York County Public Schools","Economically Disadvantaged",122,66,54
2018,DIV,"York County Public Schools","English Learners",17,10,59
2018,DIV,"York County Public Schools",Female,482,394,82
2018,DIV,"York County Public Schools",Hispanic,72,52,72
2018,DIV,"York County Public Schools",Male,439,297,68
2018,DIV,"York County Public Schools","Multiple Races",81,62,77
2018,DIV,"York County Public Schools","Native Hawaiian",<,<,<
2018,DIV,"York County Public Schools","Students with Disabilities",67,30,45
2018,DIV,"York County Public Schools",White,591,441,75
